slant_mean,slant_std,slant_entropy,space_mean,space_std,space_entropy,conc_mean,conc_std,conc_entropy,Label
73.23357664,9.168545701,2.646977852,40.25454545,19.20058539,4.668339851,10.21073062,4.244072263,3.821346444,0
101.8494624,12.53292115,3.031322564,84.98148148,24.25824849,4.879615974,12.08200855,3.915130988,3.691725051,0
84.52380952,6.319802948,2.126336805,63.14705882,29.18060632,4.742293123,12.80487448,5.446081876,4.060050822,1
103.8217822,13.80156114,3.272763004,87.38461538,25.81007097,4.701110829,12.42499291,4.421983474,3.780671654,0
63.65384615,11.63970539,2.856741292,63.67346939,18.79794578,4.334421572,14.10814477,5.898314727,4.051653237,0
54.20588235,4.815901429,1.986098462,76.77777778,17.24836725,4.518323845,33.25754882,11.77746402,4.764106962,1
100.0873786,11.96281195,2.961785735,89.69491525,27.43451633,4.947611599,12.22734772,3.461333192,3.566183892,1
102.8974359,14.48216387,3.035018112,75.36206897,22.46506735,4.696467961,12.51149208,4.322269179,3.903342704,0
103.75,12.01871061,3.088089078,79.76363636,16.74185135,4.400990164,13.19025043,3.797977674,3.641077551,0
66,13.41026823,3.14375692,55.50819672,19.70156268,4.718117053,15.42884932,5.889562012,4.125348784,1
99.89247312,13.21815497,3.173102043,76.8,25.78811096,5.024783252,11.76071753,4.2210865,3.634554162,1
53.15873016,5.231790337,2.061380703,68.88235294,15.22336576,4.23033263,33.01780241,11.71633351,4.33086523,1
72.95238095,3.605236806,1.096646929,69.35294118,18.77506015,4.288772826,16.50279255,5.186129169,3.653943303,0
57.93333333,10.98402881,2.207458861,70.74509804,15.11244538,4.340832081,33.5343698,12.91415358,4.757333508,0
73.8699187,15.52127276,3.343413888,55.15277778,25.0841139,4.953897182,9.611551631,4.650845974,3.843439963,1
101.7857143,13.66876125,3.184958592,81.8627451,24.40348706,4.850129502,11.46355399,3.655480779,3.504695677,0
92.61333333,5.71055942,2.010901308,78.10204082,18.78910333,4.371874694,11.37196533,5.463133102,3.998329867,0
85.51886792,14.70863636,3.226305804,61.75,28.98142153,4.87971927,12.15419365,5.216880276,3.967686709,1
101.835443,13.2974066,3.054111933,83.8,20.42547429,4.405518133,12.34218752,3.285785968,3.328037036,1
82.16455696,11.11781599,2.960370138,77.38461538,19.02240971,4.346697451,13.69863522,4.971874648,3.837804398,0
100.9294118,13.87658903,3.272213635,79.76595745,28.85784142,4.680878982,11.20156978,3.338700134,3.434112583,0
101.5057471,13.73632952,3.16771747,83.06382979,23.85185149,4.747799132,11.12154283,3.427134571,3.264072309,1
99.98734177,11.61785364,2.997985955,88.5,32.56716706,4.999805326,11.93821912,3.39832911,3.343670384,0
101.1789474,14.82741341,3.29981262,73.96551724,28.67653463,4.776052823,11.59721339,3.637341426,3.553036957,1
101.53125,13.8698963,2.952748316,73.78947368,15.72877221,4.276280488,12.65401329,4.456901423,3.532565642,0
72.94366197,5.071009356,1.81249332,63.88,16.33357279,4.315099316,14.99502154,5.333517328,3.936137567,1
81.43023256,12.34065007,3.192978072,70.30769231,18.51147094,4.362960658,13.20108967,5.322122534,4.088487916,1
102.1057692,12.58885211,3.018983041,76.07575758,21.28615328,4.624801171,12.26581925,3.609715745,3.487121154,0
69.68686869,7.110451071,2.238095803,40.61428571,13.09011935,4.271033662,14.61766552,4.896975259,3.854807597,0
104.4387755,12.8904856,3.209417465,80.81538462,18.22077623,4.635270378,12.18516396,3.418712694,3.506691664,1
72.48235294,3.830563665,1.380210782,71.91304348,19.22162062,4.698857211,14.18593645,4.50860731,3.675787355,0
102.443299,12.54268512,3.099719272,74.10169492,21.69956253,4.608628548,11.65948763,3.631677524,3.586744258,0
101.4271845,12.88982585,3.224362698,80.35714286,25.84737385,4.818168395,11.95436586,3.493964427,3.459908064,0
71.72826087,8.14155105,2.362479761,33.77941176,10.07449545,4.035220417,15.72858689,4.896152921,3.878618367,1
78.53030303,9.3731074,2.68449002,56.01886792,16.41960467,4.475899493,10.28799413,3.685216878,3.334558396,0
69.06818182,6.524073349,2.057249322,31.39655172,10.74298433,4.043908108,14.57399187,4.873925793,3.984326006,1
93.73626374,7.751405636,2.464437559,78.32653061,24.761217,4.32891684,9.88658204,3.636577851,3.539708897,1
104.7263158,14.74444916,3.340755579,79.48979592,27.82387937,4.750024184,11.12608835,3.436569692,3.338640659,1
65.67391304,5.597182318,1.917352029,44.91463415,20.80876997,4.525890976,9.376495945,3.087467833,3.297673101,0
93.22077922,4.12978845,1.558205289,70.35185185,22.17535954,4.81277078,9.648538005,4.082028232,3.377107426,0
59.52727273,6.211000638,2.169555785,51.75,14.41294399,4.099796173,15.58770663,4.573341398,3.540416267,1
51.71084337,7.64503165,2.308679005,48.63793103,19.7271896,4.545521624,9.593653072,3.860036697,3.578998563,0
90.20689655,2.881322856,1.314594162,89.25531915,14.3118283,4.137164326,11.18258876,4.992561436,3.330267839,0
74.44776119,8.533137482,2.6756024,61.59615385,17.64637642,4.386408368,8.908701646,3.013241694,3.105583377,1
75.58333333,9.843064193,2.878237909,57.18461538,15.35116363,4.443510478,9.778613543,3.474291003,3.161996773,1
71.96923077,15.42921228,3.236980231,55.58695652,13.8823881,4.099698252,9.108469929,3.615604168,3.303961691,1
71.48,8.201398255,2.554074193,55.32758621,16.79633368,4.291572384,12.61869044,3.563669552,3.15876818,0
91,2.613462967,0.686776924,63.95555556,12.56619019,4.144006151,13.6674402,5.146830646,3.589808536,0
69.14814815,14.71214423,3.131461597,60.85106383,14.21413549,4.145469848,8.658276147,3.289187422,3.173761339,1
